,epoch,train_loss,valid_loss,valid_acc,layers,optimizer,lr,timestamp,source_file
0,1,2.3105219512939454,2.2973222476959227,0.1669,6,SGD,0.01,20250922_182502,comparison_layers6_optSGD_lr0.01_20250922_182502.pkl
1,2,2.2804082340240477,2.2575310153961183,0.1926,6,SGD,0.01,20250922_182502,comparison_layers6_optSGD_lr0.01_20250922_182502.pkl
2,3,2.2148473640441892,2.14392036819458,0.3813,6,SGD,0.01,20250922_182502,comparison_layers6_optSGD_lr0.01_20250922_182502.pkl
3,4,1.995337428665161,1.7861508529663086,0.4654,6,SGD,0.01,20250922_182502,comparison_layers6_optSGD_lr0.01_20250922_182502.pkl
4,5,1.5312151792526245,1.2502880180358886,0.6191,6,SGD,0.01,20250922_182502,comparison_layers6_optSGD_lr0.01_20250922_182502.pkl
5,6,1.0545749519348144,0.879910364151001,0.7144,6,SGD,0.01,20250922_182502,comparison_layers6_optSGD_lr0.01_20250922_182502.pkl
6,7,0.7957075144767761,0.7051957647323608,0.7822,6,SGD,0.01,20250922_182502,comparison_layers6_optSGD_lr0.01_20250922_182502.pkl
7,8,0.6567310552597045,0.5965606893539429,0.8228,6,SGD,0.01,20250922_182502,comparison_layers6_optSGD_lr0.01_20250922_182502.pkl
8,9,0.5682371860980987,0.5278002503871918,0.8444,6,SGD,0.01,20250922_182502,comparison_layers6_optSGD_lr0.01_20250922_182502.pkl
9,10,0.5121889773368835,0.4839737885475159,0.8588,6,SGD,0.01,20250922_182502,comparison_layers6_optSGD_lr0.01_20250922_182502.pkl
10,11,0.47420683178901674,0.45263663215637207,0.8679,6,SGD,0.01,20250922_182502,comparison_layers6_optSGD_lr0.01_20250922_182502.pkl
11,12,0.4451699857234955,0.4278721661090851,0.875,6,SGD,0.01,20250922_182502,comparison_layers6_optSGD_lr0.01_20250922_182502.pkl
12,13,0.42069772901535035,0.4062750092983246,0.8817,6,SGD,0.01,20250922_182502,comparison_layers6_optSGD_lr0.01_20250922_182502.pkl
13,14,0.39881555380821226,0.3867225962162018,0.8879,6,SGD,0.01,20250922_182502,comparison_layers6_optSGD_lr0.01_20250922_182502.pkl
14,15,0.37837058403491974,0.3682184918880463,0.8937,6,SGD,0.01,20250922_182502,comparison_layers6_optSGD_lr0.01_20250922_182502.pkl
15,16,0.3591710966348648,0.3507665500640869,0.8985,6,SGD,0.01,20250922_182502,comparison_layers6_optSGD_lr0.01_20250922_182502.pkl
16,17,0.3411274568080902,0.33442414150238037,0.9041,6,SGD,0.01,20250922_182502,comparison_layers6_optSGD_lr0.01_20250922_182502.pkl
17,18,0.3241572019100189,0.31914763026237486,0.9085,6,SGD,0.01,20250922_182502,comparison_layers6_optSGD_lr0.01_20250922_182502.pkl
18,19,0.30804392560720445,0.304531965637207,0.9128,6,SGD,0.01,20250922_182502,comparison_layers6_optSGD_lr0.01_20250922_182502.pkl
19,20,0.2928933433532715,0.2906894019603729,0.9167,6,SGD,0.01,20250922_182502,comparison_layers6_optSGD_lr0.01_20250922_182502.pkl
20,21,0.27861331696510316,0.27799237706661223,0.9206,6,SGD,0.01,20250922_182502,comparison_layers6_optSGD_lr0.01_20250922_182502.pkl
21,22,0.2653840914487839,0.2661668399810791,0.9245,6,SGD,0.01,20250922_182502,comparison_layers6_optSGD_lr0.01_20250922_182502.pkl
22,23,0.25310445147752764,0.2551613070011139,0.9269,6,SGD,0.01,20250922_182502,comparison_layers6_optSGD_lr0.01_20250922_182502.pkl
23,24,0.2417229988694191,0.24525868307352067,0.9294,6,SGD,0.01,20250922_182502,comparison_layers6_optSGD_lr0.01_20250922_182502.pkl
24,25,0.23122245054244994,0.23601441534757614,0.9319,6,SGD,0.01,20250922_182502,comparison_layers6_optSGD_lr0.01_20250922_182502.pkl
25,26,0.22152417570352553,0.22767298887968063,0.9345,6,SGD,0.01,20250922_182502,comparison_layers6_optSGD_lr0.01_20250922_182502.pkl
26,27,0.2125634274482727,0.21987633813619614,0.9369,6,SGD,0.01,20250922_182502,comparison_layers6_optSGD_lr0.01_20250922_182502.pkl
27,28,0.20426567034721374,0.2128173541665077,0.9392,6,SGD,0.01,20250922_182502,comparison_layers6_optSGD_lr0.01_20250922_182502.pkl
28,29,0.19656025364398957,0.2062314656496048,0.9406,6,SGD,0.01,20250922_182502,comparison_layers6_optSGD_lr0.01_20250922_182502.pkl
29,30,0.18941554923057558,0.2003750647187233,0.9418,6,SGD,0.01,20250922_182502,comparison_layers6_optSGD_lr0.01_20250922_182502.pkl
30,31,0.18282320044040679,0.19495302163362502,0.9434,6,SGD,0.01,20250922_182502,comparison_layers6_optSGD_lr0.01_20250922_182502.pkl
31,32,0.17660601128339767,0.18991990799903868,0.9452,6,SGD,0.01,20250922_182502,comparison_layers6_optSGD_lr0.01_20250922_182502.pkl
32,33,0.1707899954378605,0.18524192730784417,0.9459,6,SGD,0.01,20250922_182502,comparison_layers6_optSGD_lr0.01_20250922_182502.pkl
33,34,0.16532305517792703,0.1809173599421978,0.9467,6,SGD,0.01,20250922_182502,comparison_layers6_optSGD_lr0.01_20250922_182502.pkl
