,epoch,train_loss,valid_loss,valid_acc,layers,optimizer,lr,timestamp,source_file
0,1,2.299322508239746,2.281267054748535,0.2331,3,SGD,0.01,20250922_172944,comparison_hidNone_layers3_optSGD_lr0.01_20250922_172944.pkl
1,2,2.2555411712646483,2.2132048728942872,0.3079,3,SGD,0.01,20250922_172944,comparison_hidNone_layers3_optSGD_lr0.01_20250922_172944.pkl
2,3,2.103001528930664,1.9147356452941895,0.3619,3,SGD,0.01,20250922_172944,comparison_hidNone_layers3_optSGD_lr0.01_20250922_172944.pkl
3,4,1.623902647972107,1.2714369966506958,0.6393,3,SGD,0.01,20250922_172944,comparison_hidNone_layers3_optSGD_lr0.01_20250922_172944.pkl
4,5,1.0291573689460753,0.821853045463562,0.7435,3,SGD,0.01,20250922_172944,comparison_hidNone_layers3_optSGD_lr0.01_20250922_172944.pkl
5,6,0.7404400469779968,0.6488456270217896,0.7956,3,SGD,0.01,20250922_172944,comparison_hidNone_layers3_optSGD_lr0.01_20250922_172944.pkl
6,7,0.6145478015422821,0.5626861079216003,0.828,3,SGD,0.01,20250922_172944,comparison_hidNone_layers3_optSGD_lr0.01_20250922_172944.pkl
7,8,0.5478709292411804,0.5119424390792847,0.8443,3,SGD,0.01,20250922_172944,comparison_hidNone_layers3_optSGD_lr0.01_20250922_172944.pkl
8,9,0.504002339887619,0.4762127874851227,0.8572,3,SGD,0.01,20250922_172944,comparison_hidNone_layers3_optSGD_lr0.01_20250922_172944.pkl
9,10,0.470160498046875,0.44793520770072937,0.8671,3,SGD,0.01,20250922_172944,comparison_hidNone_layers3_optSGD_lr0.01_20250922_172944.pkl
10,11,0.44211363167762757,0.4240398050308228,0.8743,3,SGD,0.01,20250922_172944,comparison_hidNone_layers3_optSGD_lr0.01_20250922_172944.pkl
11,12,0.41791280333995817,0.40285451912879944,0.8805,3,SGD,0.01,20250922_172944,comparison_hidNone_layers3_optSGD_lr0.01_20250922_172944.pkl
12,13,0.3965254242897034,0.3845946116447449,0.8861,3,SGD,0.01,20250922_172944,comparison_hidNone_layers3_optSGD_lr0.01_20250922_172944.pkl
13,14,0.37734335808753966,0.3679448061943054,0.8904,3,SGD,0.01,20250922_172944,comparison_hidNone_layers3_optSGD_lr0.01_20250922_172944.pkl
14,15,0.35984046788215635,0.35261957173347475,0.894,3,SGD,0.01,20250922_172944,comparison_hidNone_layers3_optSGD_lr0.01_20250922_172944.pkl
15,16,0.3435419258594513,0.33801374883651736,0.8983,3,SGD,0.01,20250922_172944,comparison_hidNone_layers3_optSGD_lr0.01_20250922_172944.pkl
16,17,0.32806802425384524,0.324277104139328,0.9022,3,SGD,0.01,20250922_172944,comparison_hidNone_layers3_optSGD_lr0.01_20250922_172944.pkl
17,18,0.31342936789989473,0.3113435254096985,0.9066,3,SGD,0.01,20250922_172944,comparison_hidNone_layers3_optSGD_lr0.01_20250922_172944.pkl
